offerId,title,link,color,size,item_group_id,price
3MLLHH2IjgqO47skfI06r2,Łącznik prosty JOINTEK Y605,https://alumineu.pl/produkty/akcesoria/laczniki/jointek-y605,,,jointek_y605,40 PLN
R2Byo-ePivRzvVzZ6j3813,Łopatka montażowa SPATULA Y804,https://alumineu.pl/produkty/akcesoria/lopatki-montazowe/spatula-y804,,,spatula_y804,210 PLN
ysB7srkLhvaXhUm2B-WED1,Ogranicznik HOOKEND Y704,https://alumineu.pl/produkty/akcesoria/haczyki/hookend-y704?editionuid=527435460662,biały,-,hookend_y704,2 PLN
Zm1YLzGFjDyJzl5BQ2AZK2,Osłona INSERTA Y008,https://alumineu.pl/produkty/akcesoria/oslony/inserta-y008?editionuid=530940509082,czarny,,inserta_y008,2 PLN
MP9kMK6mg9LT--ZPdvSbb1,Osłona INSERTA Y030,https://alumineu.pl/produkty/akcesoria/oslony/inserta-y030?editionuid=167761625542,mleczny,,inserta_y030,6 PLN
Ld9AkcuQi0qA19EQUN-hA0,Profil BANDURA X801,https://alumineu.pl/produkty/profile-harpunowe/inne/bandura-x801?editionuid=828448694242,surowy,,bandura_x801,3.2 PLN
V3cnnvOSiRXwOxWDjbAgp3,Profil CLASSIX X140,https://alumineu.pl/produkty/profile-harpunowe/bezszczelinowe/classix-x140?editionuid=956057347402,surowy,,classix_x140,3.9 PLN
uOmKNKiKhPZzh4UNscvrM3,Profil CONTURA X601,https://alumineu.pl/produkty/profile-harpunowe/konturowe/contura-x601?editionuid=363135129882,surowy,,contura_x601,8 PLN
smfA9ADrg9P4AffHsiprN2,Profil CURTINA X403,https://alumineu.pl/produkty/profile-harpunowe/karniszowe/curtina-x403?editionuid=280441303392,biały połysk,długość 2200 mm,curtina_x403,123.2 PLN
ryMNNy0Vjq1ciFgP2gUaK3,Profil CURTINA X404,https://alumineu.pl/produkty/profile-harpunowe/karniszowe/curtina-x404?editionuid=811654953612,biały połysk,długość 2200 mm,curtina_x404,110 PLN
zRy2mTY3io-ReCRagT1MI2,Profil CURTINA X405,https://alumineu.pl/produkty/profile-harpunowe/karniszowe/curtina-x405?editionuid=578757699002,biały mat,długość 2000 mm,curtina_x405,120 PLN
M7K8jSGug5rmTO1txLm922,Profil CURTINA X405,https://alumineu.pl/produkty/profile-harpunowe/karniszowe/curtina-x405?editionuid=353195082562,biały mat,długość 2200 mm,curtina_x405,132 PLN
9YYv8DXkjKpGTTDe3j99Y3,Profil CURTINA X405,https://alumineu.pl/produkty/profile-harpunowe/karniszowe/curtina-x405?editionuid=400677780532,czarny mat,długość 2000 mm,curtina_x405,120 PLN
QYtmUePthsfmVcpZ7LaHB2,Profil CURTINA X405,https://alumineu.pl/produkty/profile-harpunowe/karniszowe/curtina-x405?editionuid=767458116892,czarny mat,długość 3200 mm,curtina_x405,192 PLN
iSRbWSLtitojIsPO0sI9x2,Profil CURTINA X405 M,https://alumineu.pl/produkty/profile-harpunowe/karniszowe/curtina-x405?editionuid=479658278692,biały mat,długość 2200 mm,curtina_x405_m,250 PLN
CkVvKhJbiGhhK2anvHdB33,Profil CURTINA X405 M,https://alumineu.pl/produkty/profile-harpunowe/karniszowe/curtina-x405?editionuid=339464740812,biały mat,długość 3200 mm,curtina_x405_m,360 PLN
08Gs75cLiwndvRDfwZZkQ2,Profil CURTINA X406,https://alumineu.pl/produkty/profile-harpunowe/karniszowe/curtina-x406?editionuid=713028260252,czarny mat,długość 3200 mm,curtina_x406,64 PLN
