id,title,description,availability,availability date,expiration date,link,mobile link,image link,price,sale price,sale price effective date,identifier exists,gtin,mpn,brand,product highlight,product detail,additional image link,condition,adult,color,size,size type,size system,gender,material,pattern,age group,multipack,is bundle,unit pricing measure,unit pricing base measure,energy efficiency class,min energy efficiency class,item group id,sell on google quantity
olHJtrUhhLVDB5FN2Is6G0,Profil LIGHTRA X015,Patentowany profil LIGHTRA x015® separacyjny do sufitów napinanych z harpunowym systemem mocowania płótna. Do wykorzystania przy tworzeniu linii światła.,in_stock,,,https://alumineu.pl/produkty/profile-harpunowe/swietlne/lightra-x015,,https://drive.google.com/uc?id=1MQGzg9P1nq7D9KtwS2bRRAM4WHnPjajH,12.00 PLN,,,no,,,alumineu,,google_product_category: 7112,"https://drive.google.com/uc?id=17iV6kxFVV-6UxRAO6BWNsDD2IXWu1e81, https://drive.google.com/uc?id=1WcJRUsaDNmuIOKetxO_MF4iAAAHK55_V, https://drive.google.com/uc?id=1rihMoOyXkgST-35QSsU7xZQYxd5d18BK",new,,surowy,aluminowy,,,,,,,,,,,,,lightra_x015,100
Rv6KF1WLiPamjAv2BaZge3,Profil LIGHTRA X030,Patentowany profil LIGHTRA x030® separacyjny do sufitów napinanych z harpunowym systemem mocowania płótna. Do wykorzystania przy tworzeniu linii światła.,in_stock,,,https://alumineu.pl/produkty/profile-harpunowe/swietlne/lightra-x030,,https://drive.google.com/uc?id=1JcRLFzKFeMaiWDZwJsAK7h3YQFkf8adc,16.00 PLN,,,no,,,alumineu,,google_product_category: 7112,"https://drive.google.com/uc?id=1q7Hts3XHwGIejVqxiVGsKJpdCiQA8pPf, https://drive.google.com/uc?id=1BQBllYQFT0EMogqzRdPczmwCZFWz1Yqy, https://drive.google.com/uc?id=1sfutcwagZ85qrgpibibA0bo1Sy0xKsh3, https://drive.google.com/uc?id=1W78jOKuvbMeYaf-ZkonW14Qzvy6OpXA6",new,,surowy,aluminowy,,,,,,,,,,,,,lightra_x030,100
MzeeWUC0gyE9JJJLbz34v3,Profil LIGHTRA X030 S,Patentowany profil LIGHTRA x030 s® separacyjny do sufitów napinanych z harpunowym systemem mocowania płótna. Do wykorzystania przy tworzeniu linii światła.,in_stock,,,https://alumineu.pl/produkty/profile-harpunowe/swietlne/lightra-x030-s,,https://drive.google.com/uc?id=1TSh1oXbujCByOF5x447EjDqwb_Y4ESNw,14.00 PLN,,,no,,,alumineu,,google_product_category: 7112,"https://drive.google.com/uc?id=15qCEfUTj7bSVVMsuaHMrBqQW7bcq_eZI, https://drive.google.com/uc?id=18Gfax0Zlm0P6c9Qun0v_NDS2JGZ4o8SL, https://drive.google.com/uc?id=1sfutcwagZ85qrgpibibA0bo1Sy0xKsh3, https://drive.google.com/uc?id=1W78jOKuvbMeYaf-ZkonW14Qzvy6OpXA6",new,,surowy,aluminowy,,,,,,,,,,,,,lightra_x030_s,100
wDQZybWWgNkn2Zq49zPi30,Profil LIGHTRA X050,Patentowany profil LIGHTRA x050® separacyjny do sufitów napinanych z harpunowym systemem mocowania płótna. Do wykorzystania przy tworzeniu linii światła.,in_stock,,,https://alumineu.pl/produkty/profile-harpunowe/swietlne/lightra-x050,,https://drive.google.com/uc?id=1gfiRzqUaMR-dbS2WXuJRBetvkH8SAYkj,18.00 PLN,,,no,,,alumineu,,google_product_category: 7112,"https://drive.google.com/uc?id=1MqY7Vf5cGaa3CWyf_y_xmKj_wGGcsMoC, https://drive.google.com/uc?id=1Uovd-WdU3rlnadGUDiqU6H81XMolnQCe, https://drive.google.com/uc?id=1KyqcpZd4sXvoMBwm_a6yqP8rNgzGAFL_",new,,surowy,aluminowy,,,,,,,,,,,,,lightra_x050,100
63SkQfPpjSYcEKuuMh-YG2,Profil LAMPLIX X930,"Uniwersalny profil LAMPLIX x930® do wykonywania natynkowych, podwieszanych i wpuszczanych linii świetlnych oraz opraw oświetleniowych.",in_stock,,,https://alumineu.pl/produkty/profile-harpunowe/swietlne/lamplix-x930,,https://drive.google.com/uc?id=10CFhfti539lUpLRo9_1Tj8HPlW8Gj7VF,20.00 PLN,,,no,,,alumineu,,google_product_category: 7112,https://drive.google.com/uc?id=1xXNkBl86L3quT1nBKIgp8yycX1v1q3Fs,new,,surowy,aluminowy,,,,,,,,,,,,,lamplix_x930,100
Xo7o90pXhmhKf1FmlwptL2,Profil LAMPLIX X950,"Uniwersalny profil LAMPLIX x950® do wykonywania natynkowych, podwieszanych i wpuszczanych linii świetlnych oraz opraw oświetleniowych.",in_stock,,,https://alumineu.pl/produkty/profile-harpunowe/swietlne/lamplix-x950,,https://drive.google.com/uc?id=1aHtF1w8W1t1sKp72gjN-IKEOvpROFIVU,30.00 PLN,,,no,,,alumineu,,google_product_category: 7112,https://drive.google.com/uc?id=11h_ZjHi0RgCfs0mxydWzJL9fBR8VXVzV,new,,surowy,aluminowy,,,,,,,,,,,,,lamplix_x950,100
rtBsri0AgIfzRs45xlYEo3,Profil CLASSIX X101,Patentowany profil CLASSIX x101® do sufitów napinanych z harpunowym systemem mocowania płótna. Do obejścia skomplikowanych ścian. Obwód profilu jest zamknięty wkładką ścienną.,in_stock,,,https://alumineu.pl/produkty/profile-harpunowe/bezszczelinowe/classix-x101,,https://drive.google.com/uc?id=1yZhexEW6DL9rrCoaL1_Df5A9nL4XhHrE,9.00 PLN,,,no,,,alumineu,,google_product_category: 7112,"https://drive.google.com/uc?id=1MErYcBb87Sxu_komEHnWC7vCRDOdn_X2, https://drive.google.com/uc?id=1NqfaIYhtHhIdo45z0XHcY59LDSSABIPR, https://drive.google.com/uc?id=1rxYyLf7jDWGOJwsyMqDNvsSkKs9uvvSF",new,,surowy,aluminowy,,,,,,,,,,,,,classix_x101,100
lxFpGXGnhGh-TPEwCLiEt2,Profil CLASSIX X130,Patentowany profil CLASSIX x130® do sufitów napinanych z harpunowym systemem mocowania płótna. Obwód profilu jest zamknięty wkładką ścienną.,in_stock,,,https://alumineu.pl/produkty/profile-harpunowe/bezszczelinowe/classix-x130,,https://drive.google.com/uc?id=1-t_RzppxoCZSt-0gwEcKvR057rMSm9ns,3.00 PLN,,,no,,,alumineu,,google_product_category: 7112,"https://drive.google.com/uc?id=1ZhZipXy3PhVjxJef-p34_uGcpAKVA9xs, https://drive.google.com/uc?id=14bApwSlV4Be-ifscx95PI5z5EcVbuIRw, https://drive.google.com/uc?id=12rxjKAcddVR-9l0CHSIUzX0YS3ud9FVr",new,,surowy,aluminowy,,,,,,,,,,,,,classix_x130,100
V3cnnvOSiRXwOxWDjbAgp3,Profil CLASSIX X140,Patentowany profil CLASSIX x140® ścienny do sufitów napinanych z harpunowym systemem mocowania płótna. Bez osłony ściennej.,in_stock,,,https://alumineu.pl/produkty/profile-harpunowe/bezszczelinowe/classix-x140,,https://drive.google.com/uc?id=1lv-C-QED20jlJS5sf8OxXUwsdNJ1FjGL,3.90 PLN,,,no,,,alumineu,,google_product_category: 7112,"https://drive.google.com/uc?id=1NJlm9rib2fADT2a1KKrDqxRmE-rRjRmf, https://drive.google.com/uc?id=12dVzIY0_2lwsfic_sSkj31l8_t3uwFBU, https://drive.google.com/uc?id=1-Ju5UBs6eNWGpnmWaTA7Fwkd-OX8nZ8v",new,,surowy,aluminowy,,,,,,,,,,,,,classix_x140,100
oo9OjTbNgZ8SJAWgghj610,Profil INVISIA X201,Patentowany profil INVISIA x201® ścienny dystansowy do sufitów napinanych z harpunowym systemem mocowania płótna.,in_stock,,,https://alumineu.pl/produkty/profile-harpunowe/dystansowe/invisia-x201,,https://drive.google.com/uc?id=17KWlQvsVjXsCYacbbgYyqEeNw9Kyq0sK,10.40 PLN,,,no,,,alumineu,,google_product_category: 7112,"https://drive.google.com/uc?id=1R-9QlXUhfHmRRNjNI6FFUDC0O1wVOHvn, https://drive.google.com/uc?id=1vSRgPTQS66SjVeqt_obeRAT1BMvbPEuw, https://drive.google.com/uc?id=1doNRn2lC1L7rXkO4RoBlb8wllXxFd2qa",new,,czarny mat,aluminowy,,,,,,,,,,,,,invisia_x201,100
