"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height;"SEO title";"SEO descr";"SEO keywords";"FB title";"FB descr";Url;Tabs:1;Tabs:2;Tabs:3
442733295411;Alumineu;;;Harpunenprofile>>>Schattenfugen;"Profil INVISIA X201";"Profil Alumineu INVISIA X201, Wandabstandprofil für Spann-Decken mit Harpunen-Befestigungssystem für die Bahn.";;https://static.tildacdn.com/stor6461-3463-4434-b634-336634353037/22501200.png;;;;"product_options:[{""title"":""Farbe"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;invisia_x201;;0;0;0;0;"Distanzprofil INVISIA X201 mit einer 5 mm Schattenfuge - alumineu profile";"Profil mit Schattenfuge an der Wand INVISIA X201. Bestellen Sie Alumineu-Aluprofile für Spanndecken in Deutschland.";"Distanzprofile, Aluminiumprofil";;;https://alumineu.de/produkte/harpunenprofile/schattenfugen/invisia-x201;;;
815801714141;;;;;"Profil INVISIA X201 - schwarz matt";;;https://static.tildacdn.com/stor6461-3463-4434-b634-336634353037/22501200.png;2.70;;;"Farbe:schwarz matt #000000";;oo9OjTbNgZ8SJAWgghj610;442733295411;0;0;0;0;;;;;;https://alumineu.de/produkte/harpunenprofile/schattenfugen/invisia-x201?editionuid=815801714141;;;
401127966721;Alumineu;;;Harpunenprofile>>>Lichtlinie;"Profil LIGHTRA X030";"Patentiertes Profil LIGHTRA X030 Trennprofil für Spanndecken mit Harpunensystem zur Befestigung des Tuchs. Zur Verwendung bei der Erstellung von Lichtlinien.";;https://static.tildacdn.com/stor3232-3737-4931-b033-303937643561/1e8e5fd4336a42db0db3da694c36867d.png;;;;"product_options:[{""title"":""Farbe"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;lightra_x030;;0;0;0;0;"Profil LIGHTRA X030 für LED-Beleuchtung mit Harpunen-Befestigungssystem für Spannstoff - alumineu";"Beleuchtetes Profil LIGHTRA X030 für Spanndecken. Kaufen Sie Decken-Lichtlinien in Deutschland";"Lichtlinien für die Decke, Deckenbeleuchtung";;;https://alumineu.de/produkte/harpunenprofile/lichtlinie/lightra-x030;;;
510496803981;;;;;"Profil LIGHTRA X030 - roh";;;https://static.tildacdn.com/stor3232-3737-4931-b033-303937643561/1e8e5fd4336a42db0db3da694c36867d.png;4.15;;;"Farbe:roh #e6e6e6";;Rv6KF1WLiPamjAv2BaZge3;401127966721;0;0;0;0;;;;;;https://alumineu.de/produkte/harpunenprofile/lichtlinie/lightra-x030?editionuid=510496803981;;;
477064336861;Alumineu;;;Harpunenprofile>>>Lichtlinie;"Profil LIGHTRA X015";"Patentiertes Profil LIGHTRA X015 Trennprofil für Spanndecken mit Harpunensystem zur Befestigung des Tuchs. Geeignet zur Erstellung von Lichtlinien.";;https://static.tildacdn.com/stor6438-6264-4763-b632-376163363935/c2f92cd4f920e68f2b7eab3698f2c3ef.png;;;;"product_options:[{""title"":""Farbe"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;lightra_x015;;0;0;0;0;"Profil LIGHTRA X015 zur Erstellung von Lichtlinien in Spanndecken – alumineu";"LED-Lichtprofil LIGHTRA X015. Kaufen Sie Aluminium-Deckenprofile für Beleuchtung in Berlin und ganz Deutschland.";"Profile für LED-Streifen, Profile für Spanndecken in Deutschland";;;https://alumineu.de/produkte/harpunenprofile/lichtlinie/lightra-x015;;;
744771070761;;;;;"Profil LIGHTRA X015 - roh";;;https://static.tildacdn.com/stor6438-6264-4763-b632-376163363935/c2f92cd4f920e68f2b7eab3698f2c3ef.png;3.11;;;"Farbe:roh #e6e6e6";;olHJtrUhhLVDB5FN2Is6G0;477064336861;0;0;0;0;;;;;;https://alumineu.de/produkte/harpunenprofile/lichtlinie/lightra-x015?editionuid=744771070761;;;
674701586561;Alumineu;;;Harpunenprofile>>>Lichtlinie;"Profil LIGHTRA X030 s";"Patentierter Profil LIGHTRA X030 S Trennprofil für Spanndecken mit Harpunensystem zur Befestigung des Tuchs. Ideal zur Erstellung von Lichtlinien.";;https://static.tildacdn.com/stor3365-6363-4362-a533-656136633032/540e8d4d53058c004ef6deb8ec8ca75c.png;;;;"product_options:[{""title"":""Farbe"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;lightra_x030_s;;0;0;0;0;"Lichtlinienprofil LIGHTRA X030 s mit Ablage für LED-Streifen - alumineu";"Lichtlinienprofil LIGHTRA X030 s mit Ablage für LED-Streifen - alumineu";"Lichtlinienprofil LIGHTRA X030 s mit Ablage für LED-Streifen - alumineu";;;https://alumineu.de/produkte/harpunenprofile/lichtlinie/lightra-x030-s;;;
573449500411;;;;;"Profil LIGHTRA X030 s - roh";;;https://static.tildacdn.com/stor3365-6363-4362-a533-656136633032/540e8d4d53058c004ef6deb8ec8ca75c.png;3.63;;;"Farbe:roh #e6e6e6";;MzeeWUC0gyE9JJJLbz34v3;674701586561;0;0;0;0;;;;;;https://alumineu.de/produkte/harpunenprofile/lichtlinie/lightra-x030-s?editionuid=573449500411;;;
860758794541;Alumineu;;;Harpunenprofile>>>Lichtlinie;"Profil LIGHTRA X050";"Patentierter Profil LIGHTRA X050 Trennprofil für Spanndecken mit Harpunensystem zur Befestigung des Tuchs. Ideal zur Erstellung von Lichtlinien.";;https://static.tildacdn.com/stor3932-3634-4666-a365-353233666533/ce3fcfa5bc53b49774c6bf34ee6d1a4f.png;;;;"product_options:[{""title"":""Farbe"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;lightra_x050;;0;0;0;0;"Aluminium-LED-Profil LIGHTRA X050 für Spanndecken – Alumineu.";"LED-Band-Profil für Spanndecken LIGHTRA X050. Hauptbeleuchtung im Schlafzimmer – jetzt in Deutschland kaufen.";"Profil für LED-Streifen, Hauptbeleuchtung";;;https://alumineu.de/produkte/harpunenprofile/lichtlinie/lightra-x050;;;
785067003561;;;;;"Profil LIGHTRA X050 - roh";;;https://static.tildacdn.com/stor3932-3634-4666-a365-353233666533/ce3fcfa5bc53b49774c6bf34ee6d1a4f.png;4.67;;;"Farbe:roh #e6e6e6";;wDQZybWWgNkn2Zq49zPi30;860758794541;0;0;0;0;;;;;;https://alumineu.de/produkte/harpunenprofile/lichtlinie/lightra-x050?editionuid=785067003561;;;
702259624591;Alumineu;;;Harpunenprofile>>>Vorhangschiene;"Profil CURTINA X402";"Patentiertes Profil CURTINA X402 zur Erstellung verdeckter Vorhangnischen mit zwei Schienen für das Aufhängen von Gardinen und Vorhängen in Spanndecken mit Harpunensystem. Mit seitlicher Befestigung der Folie.";;https://static.tildacdn.com/stor3230-6333-4665-a235-353535356335/0e352157f988b10b3525047b44014ece.png;;;;"product_options:[{""title"":""Farbe"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}},{""title"":""Länge"",""params"":{""view"":""buttons"",""hasColor"":false,""linkImage"":false}}]";;curtina_x402;;0;0;0;0;;;;;;https://alumineu.de/produkte/harpunenprofile/vorhangschiene/curtina-x402;;;
695056084041;;;;;"Profil CURTINA X402 - weiß matt - 2,2 lfd. m";;;https://static.tildacdn.com/stor3230-6333-4665-a235-353535356335/0e352157f988b10b3525047b44014ece.png;27.40;;;"Farbe:weiß matt #ffffff;Länge:2,2 lfd. m";;e9yQf8rDjzi3XjGnnx3Iw3;702259624591;0;0;0;0;;;;;;https://alumineu.de/produkte/harpunenprofile/vorhangschiene/curtina-x402?editionuid=695056084041;;;
330396319901;;;;;"Profil CURTINA X402 - schwarz matt - 2,2 lfd. m";;;https://static.tildacdn.com/stor3230-6333-4665-a235-353535356335/0e352157f988b10b3525047b44014ece.png;27.40;;;"Farbe:schwarz matt #000000;Länge:2,2 lfd. m";;DKTDmwA2icCZL2vSUjXum3;702259624591;0;0;0;0;;;;;;https://alumineu.de/produkte/harpunenprofile/vorhangschiene/curtina-x402?editionuid=330396319901;;;
361913046022;;;;;"Profil CURTINA X402 - weiß matt - 3,2 lfd. m";;;https://static.tildacdn.com/stor3230-6333-4665-a235-353535356335/0e352157f988b10b3525047b44014ece.png;39.85;;;"Farbe:weiß matt #ffffff;Länge:3,2 lfd. m";;vdjAWIcdhHNfZhVE150J92;702259624591;0;0;0;0;;;;;;https://alumineu.de/produkte/harpunenprofile/vorhangschiene/curtina-x402?editionuid=361913046022;;;
215505426582;;;;;"Profil CURTINA X402 - schwarz matt - 3,2 lfd. m";;;https://static.tildacdn.com/stor3230-6333-4665-a235-353535356335/0e352157f988b10b3525047b44014ece.png;39.85;;;"Farbe:schwarz matt #000000;Länge:3,2 lfd. m";;eePmEHIghXucCCjWcE2zy3;702259624591;0;0;0;0;;;;;;https://alumineu.de/produkte/harpunenprofile/vorhangschiene/curtina-x402?editionuid=215505426582;;;
