"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height;Url
349381364424;;;;"harpoon profiles>>>shadow";"Profile INVISIA X201";;;https://static.tildacdn.com/stor3565-3861-4536-a563-346434643235/70957155.png;;;;;;invisia_x201;;0;0;0;0;https://alumineu.com/products/harpoon-profiles/shadow/invisia-x201
415709907174;;;;;"Profile INVISIA X201 - black matte";;;https://static.tildacdn.com/stor3565-3861-4536-a563-346434643235/70957155.png;10.40;99;;"Color:black matte";;oo9OjTbNgZ8SJAWgghj610;349381364424;0;0;0;0;https://alumineu.com/products/harpoon-profiles/shadow/invisia-x201?editionuid=415709907174
152149390304;;;;"harpoon profiles>>>lighting";"Profile LIGHTRA X030";;;https://static.tildacdn.com/stor3637-3962-4539-a565-356436646363/72265808.png;;;;;;lightra_x030;;0;0;0;0;https://alumineu.com/products/harpoon-profiles/light/lightra-x030
707683365734;;;;;"Profile LIGHTRA X030 - no color";;;https://static.tildacdn.com/stor3637-3962-4539-a565-356436646363/72265808.png;4.15;79;;"Color:no color";;Rv6KF1WLiPamjAv2BaZge3;152149390304;0;0;0;0;https://alumineu.com/products/harpoon-profiles/light/lightra-x030?editionuid=707683365734
637159238624;;;;"harpoon profiles>>>lighting";"Profile LIGHTRA X015";;;https://static.tildacdn.com/stor3838-3532-4664-a234-363639376534/89857357.png;;;;;;lightra_x015;;0;0;0;0;https://alumineu.com/products/harpoon-profiles/light/lightra-x015
631446513984;;;;;"Profile LIGHTRA X015 - no color";;;https://static.tildacdn.com/stor3838-3532-4664-a234-363639376534/89857357.png;3.11;57;;"Color:no color";;olHJtrUhhLVDB5FN2Is6G0;637159238624;0;0;0;0;https://alumineu.com/products/harpoon-profiles/light/lightra-x015?editionuid=631446513984
534487951814;;;;"harpoon profiles>>>lighting";"Profile LIGHTRA X030 s";;;https://static.tildacdn.com/stor6130-3035-4634-b561-346435646161/65386346.png;;;;;;lightra_x030_s;;0;0;0;0;https://alumineu.com/products/harpoon-profiles/light/lightra-x030-s
959868546004;;;;;"Profile LIGHTRA X030 s - no color";;;https://static.tildacdn.com/stor6130-3035-4634-b561-346435646161/65386346.png;3.63;48;;"Color:no color";;MzeeWUC0gyE9JJJLbz34v3;534487951814;0;0;0;0;https://alumineu.com/products/harpoon-profiles/light/lightra-x030-s?editionuid=959868546004
484188637364;;;;"harpoon profiles>>>lighting";"Profile LIGHTRA X050";;;https://static.tildacdn.com/stor6436-3837-4938-a633-666335616437/33846174.png;;;;;;lightra_x050;;0;0;0;0;https://alumineu.com/products/harpoon-profiles/light/lightra-x050
619983884654;;;;;"Profile LIGHTRA X050 - no color";;;https://static.tildacdn.com/stor6436-3837-4938-a633-666335616437/33846174.png;4.67;99;;"Color:no color";;wDQZybWWgNkn2Zq49zPi30;484188637364;0;0;0;0;https://alumineu.com/products/harpoon-profiles/light/lightra-x050?editionuid=619983884654
485721447824;;;;"harpoon profiles>>>cornice";"Profile CURTINA X402";;;https://static.tildacdn.com/stor6161-3534-4538-a664-646161303764/42891345.png;;;;;;curtina_x402;;0;0;0;0;https://alumineu.com/products/harpoon-profiles/cornice/curtina-x402
535578291034;;;;;"Profile CURTINA X402 - white gloss - 2,2 lm";;;https://static.tildacdn.com/stor6161-3534-4538-a664-646161303764/42891345.png;27.40;99;;"Color:white gloss;Length:2,2 lm";;e9yQf8rDjzi3XjGnnx3Iw3;485721447824;0;0;0;0;https://alumineu.com/products/harpoon-profiles/cornice/curtina-x402?editionuid=535578291034
366578292554;;;;;"Profile CURTINA X402 - black matte - 2,2 lm";;;https://static.tildacdn.com/stor6161-3534-4538-a664-646161303764/42891345.png;27.40;100;;"Color:black matte;Length:2,2 lm";;DKTDmwA2icCZL2vSUjXum3;485721447824;0;0;0;0;https://alumineu.com/products/harpoon-profiles/cornice/curtina-x402?editionuid=366578292554
294848956284;;;;;"Profile CURTINA X402 - white gloss - 3,2 lm";;;https://static.tildacdn.com/stor6161-3534-4538-a664-646161303764/42891345.png;39.85;98;;"Color:white gloss;Length:3,2 lm";;vdjAWIcdhHNfZhVE150J92;485721447824;0;0;0;0;https://alumineu.com/products/harpoon-profiles/cornice/curtina-x402?editionuid=294848956284
209603887604;;;;;"Profile CURTINA X402 - black matte - 3,2 lm";;;https://static.tildacdn.com/stor6161-3534-4538-a664-646161303764/42891345.png;39.85;99;;"Color:black matte;Length:3,2 lm";;eePmEHIghXucCCjWcE2zy3;485721447824;0;0;0;0;https://alumineu.com/products/harpoon-profiles/cornice/curtina-x402?editionuid=209603887604
573627009414;;;;"harpoon profiles>>>cornice";"Profile CURTINA X403";;;https://static.tildacdn.com/stor6262-3964-4433-a330-363230316365/42449150.png;;;;;;curtina_x403;;0;0;0;0;https://alumineu.com/products/harpoon-profiles/cornice/curtina-x403
406739692434;;;;;"Profile CURTINA X403 - white matte - 2,0 lm";;;https://static.tildacdn.com/stor6262-3964-4433-a330-363230316365/42449150.png;29.06;98;;"Color:white matte;Length:2,0 lm";;yUubMVw1hqQAZdBztKRgZ2;573627009414;0;0;0;0;https://alumineu.com/products/harpoon-profiles/cornice/curtina-x403?editionuid=406739692434
681009609414;;;;;"Profile CURTINA X403 - black matte - 2,0 lm";;;https://static.tildacdn.com/stor6262-3964-4433-a330-363230316365/42449150.png;29.06;0;;"Color:black matte;Length:2,0 lm";;hSqFGvnTjaggVAymnovmh0;573627009414;0;0;0;0;https://alumineu.com/products/harpoon-profiles/cornice/curtina-x403?editionuid=681009609414
375002317964;;;;;"Profile CURTINA X403 - white gloss - 2,2 lm";;;https://static.tildacdn.com/stor6262-3964-4433-a330-363230316365/42449150.png;31.96;98;;"Color:white gloss;Length:2,2 lm";;smfA9ADrg9P4AffHsiprN2;573627009414;0;0;0;0;https://alumineu.com/products/harpoon-profiles/cornice/curtina-x403?editionuid=375002317964
364376584494;;;;;"Profile CURTINA X403 - black matte - 2,2 lm";;;https://static.tildacdn.com/stor6262-3964-4433-a330-363230316365/42449150.png;31.96;100;;"Color:black matte;Length:2,2 lm";;Hxf-n56DhLa95Jq8oTmSb3;573627009414;0;0;0;0;https://alumineu.com/products/harpoon-profiles/cornice/curtina-x403?editionuid=364376584494
641987260674;;;;;"Profile CURTINA X403 - white matte - 3,2 lm";;;https://static.tildacdn.com/stor6262-3964-4433-a330-363230316365/42449150.png;46.49;98;;"Color:white matte;Length:3,2 lm";;i3hGepcZiU3L8JqEJ2rtV0;573627009414;0;0;0;0;https://alumineu.com/products/harpoon-profiles/cornice/curtina-x403?editionuid=641987260674
