"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height;Url;Tabs:1
408246751242;;;;"profile cu harpon>>>umbră";"Profil INVISIA X201";"profil patentat INVISIA X201® de perete, distanțier, pentru tavane napinane cu sistem de prindere a pânzei cu harpon.";;https://static.tildacdn.com/stor3565-3861-4536-a563-346434643235/70957155.png;;;;;;invisia_x201;;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/umbra/invisia-x201;"text|#|bez vat|#|bez vat-1"
778968775512;;;;;"Profil INVISIA X201 - negru mat";;;https://static.tildacdn.com/stor3565-3861-4536-a563-346434643235/70957155.png;13.78;;;"culoare:negru mat";;oo9OjTbNgZ8SJAWgghj610;408246751242;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/umbra/invisia-x201?editionuid=778968775512;
144672586112;;;;"profile cu harpon>>>luminoase";"Profil LIGHTRA X030";"profilul patentat LIGHTRA X030® de separare pentru tavane extensibile cu sistem de fixare tip harpon al pânzei. pentru utilizare la crearea liniilor de lumină.";;https://static.tildacdn.com/stor3637-3962-4539-a565-356436646363/72265808.png;;;;;;lightra_x030;;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/luminosi/lightra-x030;
808560176502;;;;;"Profil LIGHTRA X030 - nevopsit";;;https://static.tildacdn.com/stor3637-3962-4539-a565-356436646363/72265808.png;21.20;;;culoare:nevopsit;;Rv6KF1WLiPamjAv2BaZge3;144672586112;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/luminosi/lightra-x030?editionuid=808560176502;
456023117542;;;;"profile cu harpon>>>luminoase";"Profil LIGHTRA X015";"profilul patentat LIGHTRA X015® de separare pentru tavane extensibile cu sistem de fixare tip harpon al pânzei. pentru utilizare la crearea liniilor de lumină.";;https://static.tildacdn.com/stor3838-3532-4664-a234-363639376534/89857357.png;;;;;;lightra_x015;;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/luminosi/lightra-x015;
935810110972;;;;;"Profil LIGHTRA X015 - nevopsit";;;https://static.tildacdn.com/stor3838-3532-4664-a234-363639376534/89857357.png;15.90;;;culoare:nevopsit;;olHJtrUhhLVDB5FN2Is6G0;456023117542;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/luminosi/lightra-x015?editionuid=935810110972;
196701299832;;;;"profile cu harpon>>>luminoase";"Profil LIGHTRA X030 s";"profilul patentat LIGHTRA X030 s® de separare pentru tavane extensibile cu sistem de fixare tip harpon al pânzei. pentru utilizare la crearea liniilor de lumină.";;https://static.tildacdn.com/stor6130-3035-4634-b561-346435646161/65386346.png;;;;;;lightra_x030_s;;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/luminosi/lightra-x030-s;
325059620482;;;;;"Profil LIGHTRA X030 s - nevopsit";;;https://static.tildacdn.com/stor6130-3035-4634-b561-346435646161/65386346.png;18.55;;;culoare:nevopsit;;MzeeWUC0gyE9JJJLbz34v3;196701299832;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/luminosi/lightra-x030-s?editionuid=325059620482;
156269856802;;;;"profile cu harpon>>>luminoase";"Profil LIGHTRA X050";"profilul patentat LIGHTRA X050® de separare pentru tavane extensibile, cu sistem de prindere cu harpon al pânzei pentru tavane extensibile. utilizat pentru crearea liniilor de lumină.";;https://static.tildacdn.com/stor6436-3837-4938-a633-666335616437/33846174.png;;;;;;lightra_x050;;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/luminosi/lightra-x050;
770514350612;;;;;"Profil LIGHTRA X050 - nevopsit";;;https://static.tildacdn.com/stor6436-3837-4938-a633-666335616437/33846174.png;23.86;;;culoare:nevopsit;;wDQZybWWgNkn2Zq49zPi30;156269856802;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/luminosi/lightra-x050?editionuid=770514350612;
173117135412;;;;"profile cu harpon>>>cornișe";"Profil CURTINA X402";"profil patentat CURTINA X402® pentru realizarea nișelor ascunse de draperii, cu două șanțuri pentru agățarea perdelelor și draperiilor în tavane napinane cu sistem harpon. cu prindere laterală a pânzei.";;"https://static.tildacdn.com/stor6161-3534-4538-a664-646161303764/42891345.png https://static.tildacdn.com/stor3135-3532-4534-a536-623032643331/27779827.png";;;;;;curtina_x402;;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/cornise/curtina-x402;
301964519272;;;;;"Profil CURTINA X402 - alb lucios - 2,2 m.l.";;;https://static.tildacdn.com/stor3135-3532-4534-a536-623032643331/27779827.png;139.95;;;"culoare:alb lucios;lungime:2,2 m.l.";;e9yQf8rDjzi3XjGnnx3Iw3;173117135412;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/cornise/curtina-x402?editionuid=301964519272;
956663279972;;;;;"Profil CURTINA X402 - negru mat - 2,2 m.l.";;;https://static.tildacdn.com/stor6161-3534-4538-a664-646161303764/42891345.png;139.95;;;"culoare:negru mat;lungime:2,2 m.l.";;DKTDmwA2icCZL2vSUjXum3;173117135412;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/cornise/curtina-x402?editionuid=956663279972;
458830194052;;;;;"Profil CURTINA X402 - alb lucios - 3,2 m.l.";;;https://static.tildacdn.com/stor3135-3532-4534-a536-623032643331/27779827.png;203.57;;;"culoare:alb lucios;lungime:3,2 m.l.";;vdjAWIcdhHNfZhVE150J92;173117135412;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/cornise/curtina-x402?editionuid=458830194052;
973723430772;;;;;"Profil CURTINA X402 - negru mat - 3,2 m.l.";;;https://static.tildacdn.com/stor6161-3534-4538-a664-646161303764/42891345.png;203.57;;;"culoare:negru mat;lungime:3,2 m.l.";;eePmEHIghXucCCjWcE2zy3;173117135412;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/cornise/curtina-x402?editionuid=973723430772;
333014532202;;;;"profile cu harpon>>>cornișe";"Profil CURTINA X403";"profil patentat CURTINA X403® pentru realizarea nișelor ascunse de draperii, cu trei șanțuri pentru agățarea perdelelor și draperiilor în tavane extensibile cu sistem harpon. cu prindere laterală a pânzei.";;https://static.tildacdn.com/stor6262-3964-4433-a330-363230316365/42449150.png;;;;;;curtina_x403;;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/cornise/curtina-x403;
293267787752;;;;;"Profil CURTINA X403 - alb mat - 2,0 m.l.";;;;148.43;;;"culoare:alb mat;lungime:2,0 m.l.";;yUubMVw1hqQAZdBztKRgZ2;333014532202;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/cornise/curtina-x403?editionuid=293267787752;
196174289902;;;;;"Profil CURTINA X403 - negru mat - 2,0 m.l.";;;https://static.tildacdn.com/stor6262-3964-4433-a330-363230316365/42449150.png;148.43;;;"culoare:negru mat;lungime:2,0 m.l.";;hSqFGvnTjaggVAymnovmh0;333014532202;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/cornise/curtina-x403?editionuid=196174289902;
