"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height;Url
839319337232;Alumineu;;;"profile harpunowe>>>dystansowe";"Profil INVISIA X201";"Profil alumineu INVISIA X201 ścienny dystansowy do sufitów napinanych z harpunowym systemem mocowania płótna.";;https://static.tildacdn.com/stor3565-3861-4536-a563-346434643235/70957155.png;;;;;;invisia_x201;;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/dystansowe/invisia-x201
190792308312;;;;;"Profil INVISIA X201 - czarny mat";;;https://static.tildacdn.com/stor3565-3861-4536-a563-346434643235/70957155.png;10.40;97;;"Kolor:czarny mat";;oo9OjTbNgZ8SJAWgghj610;839319337232;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/dystansowe/invisia-x201?editionuid=190792308312
507661787472;Alumineu;;;"profile harpunowe>>>świetlne";"Profil LIGHTRA X030";"Profil alumineu LIGHTRA X030 separacyjny do sufitów napinanych z harpunowym systemem mocowania płótna. Do wykorzystania przy tworzeniu linii światła.";;"https://static.tildacdn.com/stor3637-3962-4539-a565-356436646363/72265808.png https://static.tildacdn.com/stor3965-3166-4334-a662-326435643339/78091419.png https://static.tildacdn.com/stor3762-3435-4664-a531-346161626337/56223546.png";;;;;;lightra_x030;;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/swietlne/lightra-x030
500336886312;;;;;"Profil LIGHTRA X030 - surowy";;;https://static.tildacdn.com/stor3637-3962-4539-a565-356436646363/72265808.png;16.00;78;;Kolor:surowy;;Rv6KF1WLiPamjAv2BaZge3;507661787472;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/swietlne/lightra-x030?editionuid=500336886312
643951758772;Alumineu;;;"profile harpunowe>>>świetlne";"Profil LIGHTRA X015";"Profil alumineu LIGHTRA X015 separacyjny do sufitów napinanych z harpunowym systemem mocowania płótna. Do wykorzystania przy tworzeniu linii światła.";;"https://static.tildacdn.com/stor3838-3532-4664-a234-363639376534/89857357.png https://static.tildacdn.com/stor3861-6635-4465-b233-356138393333/68881644.png https://static.tildacdn.com/stor3737-6637-4733-b938-396233663539/18868798.png";;;;;;lightra_x015;;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/swietlne/lightra-x015
730235871282;;;;;"Profil LIGHTRA X015 - surowy";;;https://static.tildacdn.com/stor3838-3532-4664-a234-363639376534/89857357.png;12.00;51;;Kolor:surowy;;olHJtrUhhLVDB5FN2Is6G0;643951758772;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/swietlne/lightra-x015?editionuid=730235871282
291145398992;Alumineu;;;"profile harpunowe>>>świetlne";"Profil LIGHTRA X030 S";"Profil alumineu LIGHTRA X030 s separacyjny do sufitów napinanych z harpunowym systemem mocowania płótna. Do wykorzystania przy tworzeniu linii światła.";;"https://static.tildacdn.com/stor6130-3035-4634-b561-346435646161/65386346.png https://static.tildacdn.com/stor3431-3339-4762-b930-623639373234/75097112.png https://static.tildacdn.com/stor6461-3666-4035-b761-646233353732/45098662.png";;;;;;lightra_x030_s;;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/swietlne/lightra-x030-s
928673577412;;;;;"Profil LIGHTRA X030 S - surowy";;;https://static.tildacdn.com/stor6130-3035-4634-b561-346435646161/65386346.png;14.00;98;;Kolor:surowy;;MzeeWUC0gyE9JJJLbz34v3;291145398992;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/swietlne/lightra-x030-s?editionuid=928673577412
658200666082;Alumineu;;;"profile harpunowe>>>świetlne";"Profil LIGHTRA X050";"Profil alumineu LIGHTRA X050 separacyjny do sufitów napinanych z harpunowym systemem mocowania płótna. Do wykorzystania przy tworzeniu linii światła.";;https://static.tildacdn.com/stor6436-3837-4938-a633-666335616437/33846174.png;;;;;;lightra_x050;;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/swietlne/lightra-x050
493470832492;;;;;"Profil LIGHTRA X050 - surowy";;;https://static.tildacdn.com/stor6436-3837-4938-a633-666335616437/33846174.png;18.00;93;;Kolor:surowy;;wDQZybWWgNkn2Zq49zPi30;658200666082;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/swietlne/lightra-x050?editionuid=493470832492
225827805212;Alumineu;;;"profile harpunowe>>>karniszowe";"Profil CURTINA X402";"Profil alumineu CURTINA X402 do wykonania ukrytych wnęk karniszowych z dwoma rowkami do wieszania zasłon i firan w sufitach napinanych z systemem harpunowym. Z bocznym mocowaniem płótna.";;https://static.tildacdn.com/stor6161-3534-4538-a664-646161303764/42891345.png;;;;;;curtina_x402;;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/karniszowe/curtina-x402
